MISS | Fix 1a: logoutBtn style.display
MISS | Fix 1b: adminTabs style.display
MISS | Fix 9a: renderAdminShell null check
MISS | Fix 9b: openAdmin null check
MISS | Fix 3a: escapeHtml function
MISS | Fix 3c: product description escape
MISS | Fix 12a: chat messages escape
MISS | Fix 12c: pending orders escape
OK   | Fix 7a: chat point selector
OK   | Fix 7b: onChatPointChange
MISS | Fix 11a: caisseCart null check
OK   | money function
OK   | POINTS variable
OK   | m.body raw (unescaped)
OK   | m.sender_name raw (unescaped)
